work_year,experience_level,employment_type,salary_in_usd,employee_residence,remote_ratio,company_size
2024,MI,FT,106300,US,100,M
2024,MI,FT,150000,US,100,M
2024,MI,FT,90200,US,100,M
2024,MI,FT,140000,US,0,M
2024,MI,FT,110000,US,0,M
2024,SE,FT,140000,US,100,M
2024,SE,FT,120000,US,100,M
2024,MI,PT,138000,US,0,M
2024,MI,PT,86000,US,0,M
2024,MI,FT,199700,US,0,M
2024,MI,FT,70800,US,0,M
2024,SE,FT,175000,US,0,M
2024,SE,FT,130000,US,0,M
2024,SE,FT,169847,US,100,M
2024,SE,FT,131631,US,100,M
2024,SE,FT,277000,US,0,M
2024,SE,FT,173000,US,0,M
2024,SE,FT,264500,US,100,M
2024,SE,FT,165600,US,100,M
2024,SE,FT,194000,US,100,M
2024,SE,FT,168000,US,100,M
2024,MI,FT,90000,US,0,M
2024,MI,FT,70000,US,0,M
2024,EN,FT,137000,US,0,M
2024,EN,FT,60400,US,0,M
2024,EX,FT,197689,US,0,M
2024,EX,FT,152311,US,0,M
2024,EX,FT,209500,US,0,M
2024,EX,FT,147500,US,0,M
2024,SE,FT,170000,US,100,M
2024,SE,FT,146000,US,100,M
2024,SE,FT,220600,US,0,M
2024,SE,FT,140100,US,0,M
2024,SE,FT,236872,US,0,M
2024,SE,FT,148045,US,0,M
2024,MI,FT,143896,US,0,M
2024,MI,FT,99208,US,0,M
2024,SE,FT,250000,US,0,M
2024,SE,FT,160000,US,0,M
2024,SE,FT,200000,US,0,M
2024,SE,FT,25000,US,0,M
2024,SE,FT,137500,US,0,M
2024,SE,FT,81500,US,0,M
2024,EX,FT,209700,US,0,M
2024,EX,FT,161300,US,0,M
2024,SE,FT,249000,US,0,M
2024,SE,FT,216000,US,0,M
2024,SE,FT,170040,US,0,M
2024,SE,FT,113360,US,0,M
2024,MI,FT,178250,US,0,M
2024,MI,FT,110500,US,0,M
2024,EN,FT,83300,US,0,M
2024,EN,FT,47500,US,0,M
2024,SE,FT,200000,US,100,M
2024,SE,FT,148500,US,100,M
2024,SE,FT,138000,US,0,M
2024,SE,FT,120000,US,0,M
2024,SE,FT,250000,US,0,M
2024,SE,FT,200000,US,0,M
2024,SE,FT,110000,US,100,M
2024,SE,FT,90000,US,100,M
2024,MI,FT,142000,US,100,M
2024,MI,FT,129500,US,100,M
2024,MI,FT,210554,US,0,M
2024,MI,FT,131596,US,0,M
2024,SE,FT,170000,US,0,M
2024,SE,FT,130000,US,0,M
2024,SE,FT,159550,US,0,M
2024,SE,FT,113000,US,0,M
2024,MI,FT,135000,US,0,M
2024,MI,FT,100000,US,0,M
2024,MI,FT,245400,US,0,M
2024,MI,FT,139000,US,0,M
2024,SE,FT,190000,US,0,M
2024,SE,FT,167000,US,0,M
2024,SE,FT,304000,US,0,M
2024,SE,FT,244000,US,0,M
2024,EN,FT,62500,US,0,M
2024,EN,FT,55000,US,0,M
2024,SE,FT,247600,US,0,L
2024,SE,FT,127300,US,0,L
2024,SE,FT,210000,US,0,M
2024,SE,FT,170000,US,0,M
2024,MI,FT,222200,US,0,L
2024,MI,FT,136000,US,0,L
2024,MI,FT,200000,US,100,M
2024,MI,FT,151300,US,100,M
2024,MI,FT,110000,US,100,M
2024,MI,FT,90000,US,100,M
2024,EN,FT,156000,US,0,M
2024,EN,FT,94000,US,0,M
2024,MI,FT,212800,US,0,L
2024,MI,FT,124100,US,0,L
2024,MI,FT,195000,US,0,M
2024,MI,FT,140000,US,0,M
2024,SE,FT,199068,US,0,M
2024,SE,FT,150000,US,0,M
2024,EX,FT,250900,US,0,M
2024,EX,FT,173100,US,0,M
2024,MI,FT,95000,US,0,M
2024,MI,FT,80000,US,0,M
2024,SE,FT,138000,US,0,M
2024,SE,FT,86000,US,0,M
2024,SE,FT,186754,US,0,M
2024,SE,FT,101000,US,0,M
2024,SE,FT,234000,US,0,M
2024,SE,FT,146000,US,0,M
2024,MI,FT,96200,US,100,M
2024,MI,FT,69800,US,100,M
2024,SE,FT,96200,US,100,M
2024,SE,FT,69800,US,100,M
2024,SE,FT,170000,US,0,M
2024,SE,FT,150000,US,0,M
2024,MI,FT,157500,US,0,M
2024,MI,FT,149900,US,0,M
2024,SE,FT,169000,US,0,M
2024,SE,FT,105000,US,0,M
2024,SE,FT,148017,US,100,M
2024,SE,FT,87069,US,100,M
2024,MI,FT,130000,US,100,M
2024,MI,FT,91000,US,100,M
2024,SE,FT,149925,US,0,M
2024,SE,FT,91260,US,0,M
2024,SE,FT,185000,US,0,M
2024,SE,FT,25000,US,0,M
2024,SE,FT,155000,US,100,M
2024,SE,FT,120000,US,100,M
2024,SE,FT,209700,US,0,M
2024,SE,FT,144600,US,0,M
2024,SE,FT,175000,US,0,M
2024,SE,FT,117000,US,0,M
2024,MI,FT,77280,US,0,M
2024,MI,FT,58000,US,0,M
2024,SE,FT,170200,US,100,M
2024,SE,FT,125800,US,100,M
2024,SE,FT,202730,US,100,M
2024,SE,FT,92118,US,100,M
2024,MI,FT,125000,US,100,M
2024,MI,FT,100000,US,100,M
2024,SE,FT,200000,US,100,M
2024,SE,FT,160000,US,100,M
2024,MI,FT,157144,US,0,M
2024,MI,FT,93101,US,0,M
2024,SE,FT,260000,US,0,L
2024,SE,FT,136000,US,0,L
2024,SE,FT,189000,US,0,M
2024,SE,FT,145400,US,0,M
2024,SE,FT,154000,US,0,M
2024,SE,FT,103000,US,0,M
2024,EX,FT,223000,US,0,M
2024,EX,FT,205000,US,0,M
2024,SE,FT,209000,US,0,M
2024,SE,FT,120000,US,0,M
2024,MI,FT,110000,US,100,M
2024,MI,FT,90000,US,100,M
2024,SE,FT,252000,US,0,M
2024,SE,FT,168000,US,0,M
2024,MI,FT,222200,US,0,L
2024,MI,FT,136000,US,0,L
2024,SE,FT,250000,US,100,M
2024,SE,FT,385000,US,100,M
2024,SE,FT,130000,US,100,M
2024,MI,FT,150000,US,0,M
2024,MI,FT,127500,US,0,M
2024,EN,FT,142136,US,0,M
2024,EN,FT,123596,US,0,M
2024,MI,FT,285200,US,100,M
2024,MI,FT,168600,US,100,M
2024,SE,FT,223500,US,0,M
2024,SE,FT,109100,US,0,M
2024,EN,FT,64500,US,0,M
2024,EN,FT,46500,US,0,M
2024,SE,FT,180500,US,0,M
2024,SE,FT,96200,US,0,M
2024,MI,FT,86940,US,0,M
2024,MI,FT,66000,US,0,M
2024,MI,FT,77280,US,0,M
2024,MI,FT,58000,US,0,M
2024,SE,FT,166000,US,0,M
2024,SE,FT,104000,US,0,M
2024,EN,FT,97000,US,0,M
2024,EN,FT,62000,US,0,M
2024,MI,FT,176000,US,0,M
2024,MI,FT,72700,US,0,M
2024,EN,FT,170500,US,100,M
2024,EN,FT,123200,US,100,M
2024,SE,FT,296400,US,0,M
2024,SE,FT,159600,US,0,M
2024,SE,FT,158200,US,0,M
2024,SE,FT,79000,US,0,M
2024,MI,FT,145000,US,0,M
2024,MI,FT,125000,US,0,M
2024,EX,FT,230000,US,100,M
2024,EX,FT,200000,US,100,M
2024,SE,FT,278000,US,0,M
2024,SE,FT,196000,US,0,M
2024,SE,FT,140000,US,100,M
2024,SE,FT,100000,US,100,M
2024,SE,FT,218000,US,0,M
2024,SE,FT,145000,US,0,M
2024,SE,FT,100000,US,0,M
2024,SE,FT,86220,US,0,M
2024,MI,FT,190000,US,0,M
2024,MI,FT,150000,US,0,M
2024,MI,FT,110000,US,0,M
2024,MI,FT,95000,US,0,M
2024,SE,FT,110000,US,0,M
2024,SE,FT,90000,US,0,M
2024,MI,FT,140000,US,0,M
2024,MI,FT,110000,US,0,M
2024,MI,FT,80000,US,100,M
2024,MI,FT,50000,US,100,M
2024,SE,FT,180000,US,100,M
2024,SE,FT,130000,US,100,M
2024,SE,FT,200000,US,0,M
2024,SE,FT,147000,US,0,M
2024,SE,FT,148000,US,0,M
2024,SE,FT,125000,US,0,M
2024,SE,FT,150000,US,0,M
2024,SE,FT,110000,US,0,M
2024,SE,FT,245400,US,100,M
2024,SE,FT,135800,US,100,M
2024,EX,FT,200000,US,0,M
2024,EX,FT,175000,US,0,M
2024,SE,FT,249700,US,100,M
2024,SE,FT,156300,US,100,M
2024,SE,FT,190000,US,100,M
2024,SE,FT,140000,US,100,M
2024,SE,FT,370000,US,0,M
2024,SE,FT,220000,US,0,M
2024,SE,FT,280000,US,100,M
2024,SE,FT,184000,US,100,M
2024,MI,FT,174000,US,0,M
2024,MI,FT,132000,US,0,M
2024,SE,FT,720000,US,0,M
2024,SE,FT,170000,US,0,M
2024,SE,FT,200000,US,0,M
2024,SE,FT,160000,US,0,M
2024,SE,FT,150000,US,0,M
2024,SE,FT,111000,US,0,M
2024,SE,FT,280000,US,100,M
2024,SE,FT,184000,US,100,M
2024,SE,FT,302900,US,0,M
2024,SE,FT,302900,US,0,M
2024,MI,FT,179500,US,0,M
2024,MI,FT,149500,US,0,M
2024,SE,FT,238000,US,100,M
2024,SE,FT,149000,US,100,M
2024,SE,FT,190000,US,0,M
2024,SE,FT,148000,US,0,M
2024,SE,FT,162225,US,0,M
2024,SE,FT,139050,US,0,M
2024,SE,FT,190000,US,100,M
2024,SE,FT,105301,US,100,M
2024,SE,FT,180000,US,0,M
2024,SE,FT,139000,US,0,M
2024,SE,FT,252000,US,0,M
2024,SE,FT,168000,US,0,M
2024,MI,FT,85000,US,0,M
2024,MI,FT,74880,US,0,M
2024,SE,FT,260000,US,0,M
2024,SE,FT,160000,US,0,M
2024,SE,FT,190000,US,100,M
2024,SE,FT,150000,US,100,M
2024,MI,FT,234000,US,0,M
2024,MI,FT,176000,US,0,M
2024,MI,FT,125000,US,100,M
2024,MI,FT,100000,US,100,M
2024,SE,FT,155000,US,0,M
2024,SE,FT,100000,US,0,M
2024,MI,FT,184000,US,0,M
2024,MI,FT,123000,US,0,M
2024,SE,FT,140000,US,100,M
2024,SE,FT,130000,US,100,M
2024,MI,FT,159550,US,0,M
2024,MI,FT,113000,US,0,M
2024,SE,FT,120000,US,0,M
2024,SE,FT,75000,US,0,M
2024,SE,FT,166000,US,0,M
2024,SE,FT,110781,US,0,M
2024,MI,FT,121500,US,100,M
2024,MI,FT,88200,US,100,M
2024,EN,PT,63162,US,0,M
2024,EN,PT,37154,US,0,M
2024,SE,FT,195800,US,0,M
2024,SE,FT,161900,US,0,M
2024,SE,FT,142166,US,0,M
2024,SE,FT,88854,US,0,M
2024,EN,FT,137000,US,0,M
2024,EN,FT,60400,US,0,M
2024,SE,FT,178090,US,100,M
2024,SE,FT,92118,US,100,M
2024,EX,FT,257500,US,0,M
2024,EX,FT,190000,US,0,M
2024,MI,FT,176000,US,0,M
2024,MI,FT,106500,US,0,M
2024,MI,FT,125500,US,0,M
2024,MI,FT,78000,US,0,M
2024,SE,FT,200000,US,100,M
2024,SE,FT,96000,US,100,M
2024,EN,FT,192500,US,0,M
2024,EN,FT,140000,US,0,M
2024,SE,FT,220000,US,0,M
2024,SE,FT,96600,US,0,M
2024,SE,FT,195500,US,0,M
2024,SE,FT,117300,US,0,M
2024,SE,FT,156000,US,0,M
2024,SE,FT,124000,US,0,M
2024,SE,FT,178090,US,0,M
2024,SE,FT,81978,US,0,M
2024,SE,FT,142500,US,0,M
2024,SE,FT,90000,US,0,M
2024,MI,FT,176000,US,100,M
2024,MI,FT,72700,US,100,M
2024,MI,FT,132600,US,0,M
2024,MI,FT,80845,US,0,M
2024,EX,FT,250000,US,0,M
2024,EX,FT,150000,US,0,M
2024,MI,FT,79000,US,0,M
2024,MI,FT,72000,US,0,M
2024,SE,FT,230800,US,100,M
2024,SE,FT,96200,US,100,M
2024,EN,FT,187415,US,0,M
2024,EN,FT,114080,US,0,M
2024,EN,FT,187415,US,0,M
2024,EN,FT,114080,US,0,M
2024,SE,FT,277000,US,0,M
2024,SE,FT,173000,US,0,M
2024,MI,FT,175000,US,0,M
2024,MI,FT,117000,US,0,M
2024,SE,FT,193000,US,0,M
2024,SE,FT,84600,US,0,M
2024,SE,FT,220000,US,0,M
2024,SE,FT,96600,US,0,M
2024,SE,FT,170000,US,0,M
2024,SE,FT,130000,US,0,M
2024,MI,FT,172000,US,0,M
2024,MI,FT,75600,US,0,M
2024,SE,FT,201000,US,0,M
2024,SE,FT,125500,US,0,M
2024,SE,FT,187000,US,100,M
2024,SE,FT,117000,US,100,M
2024,EN,FT,61700,US,0,M
2024,EN,FT,55000,US,0,M
2024,SE,FT,165600,US,0,L
2024,SE,FT,65800,US,0,L
2024,MI,FT,148000,US,0,M
2024,MI,FT,118000,US,0,M
2024,MI,FT,252000,US,0,M
2024,MI,FT,168000,US,0,M
2024,SE,FT,149076,US,0,M
2024,SE,FT,82365,US,0,M
2024,SE,FT,160000,US,0,M
2024,SE,FT,120000,US,0,M
2024,SE,FT,160000,US,0,M
2024,SE,FT,115000,US,0,M
2024,MI,FT,193000,US,0,M
2024,MI,FT,128000,US,0,M
2024,SE,FT,220000,US,0,M
2024,SE,FT,170000,US,0,M
2024,SE,FT,189000,US,0,M
2024,SE,FT,136000,US,0,M
2024,MI,FT,185000,US,0,L
2024,MI,FT,79600,US,0,L
2024,MI,FT,210000,US,0,M
2024,MI,FT,160000,US,0,M
2024,EX,FT,200000,US,0,M
2024,EX,FT,160000,US,0,M
2024,SE,FT,150000,US,0,M
2024,SE,FT,90000,US,0,M
2024,MI,FT,208200,US,100,M
2024,MI,FT,124900,US,100,M
2024,SE,FT,150000,US,0,M
2024,SE,FT,130000,US,0,M
2024,SE,FT,189000,US,0,M
2024,SE,FT,160000,US,0,M
2024,SE,FT,255475,US,0,M
2024,SE,FT,185800,US,0,M
2024,SE,FT,220000,US,0,M
2024,SE,FT,170000,US,0,M
2024,SE,FT,220000,US,0,M
2024,SE,FT,170000,US,0,M
2024,SE,FT,113800,US,100,M
2024,SE,FT,74400,US,100,M
2024,SE,FT,260000,US,0,M
2024,MI,FT,180000,US,0,M
2024,MI,FT,140000,US,0,M
2024,SE,FT,108500,US,0,M
2024,SE,FT,78800,US,0,M
2024,SE,FT,252000,US,0,M
2024,SE,FT,181000,US,0,M
2024,SE,FT,301126,US,100,M
2024,SE,FT,210788,US,100,M
2024,SE,FT,147500,US,0,M
2024,SE,FT,85000,US,0,M
2024,SE,FT,175000,US,0,M
2024,SE,FT,117000,US,0,M
2024,EN,FT,157400,US,100,M
2024,EN,FT,98600,US,100,M
2024,EN,FT,83000,US,100,M
2024,EN,FT,64000,US,100,M
2024,SE,FT,200000,US,100,M
2024,SE,FT,90000,US,100,M
2024,SE,FT,250000,US,100,M
2024,SE,FT,190000,US,100,M
2024,SE,FT,258750,US,0,M
2024,SE,FT,191250,US,0,M
2024,EN,FT,177100,US,0,M
2024,EN,FT,130900,US,0,M
2024,EN,FT,99200,US,100,M
2024,EN,FT,69400,US,100,M
2024,MI,FT,79500,US,100,M
2024,MI,FT,57700,US,100,M
2024,SE,FT,179000,US,0,M
2024,SE,FT,112000,US,0,M
2024,SE,FT,206000,US,0,M
2024,SE,FT,97335,US,0,M
2024,MI,FT,223900,US,100,M
2024,MI,FT,140100,US,100,M
2024,SE,FT,144300,US,100,M
2024,SE,FT,104800,US,100,M
2024,MI,FT,168000,US,100,L
2024,MI,FT,78400,US,100,L
2024,SE,FT,207300,US,0,M
2024,SE,FT,114700,US,0,M
2024,SE,FT,265000,US,100,M
2024,SE,FT,220000,US,100,M
2024,SE,FT,120000,US,0,M
2024,SE,FT,100000,US,0,M
2024,SE,FT,306000,US,0,M
2024,SE,FT,151600,US,0,M
2024,EX,FT,300000,US,100,M
2024,EX,FT,220000,US,100,M
2024,SE,FT,167500,US,0,M
2024,SE,FT,138500,US,0,M
2024,MI,FT,194000,US,0,M
2024,MI,FT,125500,US,0,M
2024,SE,FT,194500,US,0,M
2024,SE,FT,147368,US,0,M
2024,MI,FT,165000,US,0,M
2024,MI,FT,117000,US,0,M
2024,SE,FT,170000,US,0,M
2024,SE,FT,148000,US,0,M
2024,SE,FT,160500,US,100,M
2024,SE,FT,107000,US,100,M
2024,SE,FT,500000,US,0,M
2024,SE,FT,80000,US,0,M
2024,MI,FT,241000,US,0,M
2024,MI,FT,189000,US,0,M
2024,SE,FT,167500,US,0,M
2024,SE,FT,138500,US,0,M
2024,SE,FT,200000,US,100,M
2024,SE,FT,148500,US,100,M
2024,SE,FT,273000,US,0,M
2024,SE,FT,166500,US,0,M
2024,SE,FT,106260,US,0,M
2024,SE,FT,82000,US,0,M
2024,MI,FT,115000,US,100,M
2024,MI,FT,100000,US,100,M
2024,MI,FT,105000,US,0,M
2024,MI,FT,90000,US,0,M
2024,SE,FT,170000,US,0,M
2024,SE,FT,140000,US,0,M
2024,MI,FT,170000,US,0,M
2024,MI,FT,145000,US,0,M
2024,SE,FT,233000,US,0,M
2024,SE,FT,140000,US,0,M
2024,SE,FT,202800,US,0,M
2024,SE,FT,108200,US,0,M
2024,EX,FT,190000,US,0,M
2024,EX,FT,150000,US,0,M
2024,SE,FT,214872,US,100,M
2024,SE,FT,186846,US,100,M
2024,SE,FT,145360,US,100,M
2024,SE,FT,107440,US,100,M
2024,SE,FT,212800,US,0,L
2024,SE,FT,115100,US,0,L
2024,SE,FT,174000,US,0,M
2024,SE,FT,116000,US,0,M
2024,MI,FT,181700,US,0,M
2024,MI,FT,64300,US,0,M
2024,MI,FT,185000,US,0,L
2024,MI,FT,81000,US,0,L
2024,SE,FT,96200,US,0,M
2024,SE,FT,69800,US,0,M
2024,EN,FT,77280,US,0,M
2024,EN,FT,58000,US,0,M
2024,SE,FT,178200,US,0,M
2024,SE,FT,74800,US,0,M
2024,EN,FT,164500,US,0,M
2024,EN,FT,67200,US,0,M
2024,SE,FT,165000,US,0,M
2024,SE,FT,117000,US,0,M
2024,EN,FT,185000,US,0,L
2024,EN,FT,81000,US,0,L
2024,MI,FT,287800,US,0,M
2024,MI,FT,287800,US,0,M
2024,SE,FT,150000,US,0,M
2024,SE,FT,110000,US,0,M
2024,MI,FT,250000,US,0,M
2024,MI,FT,200000,US,0,M
2024,SE,FT,200000,US,0,M
2024,SE,FT,160000,US,0,M
2024,MI,FT,172000,US,0,M
2024,MI,FT,75600,US,0,M
2024,EN,PT,291340,US,0,M
2024,EN,PT,194240,US,0,M
2024,MI,FT,191070,US,0,M
2024,MI,FT,135900,US,0,M
2024,SE,FT,282000,US,0,M
2024,SE,FT,171000,US,0,M
2024,SE,FT,260000,US,0,L
2024,SE,FT,136000,US,0,L
2024,MI,FT,152800,US,0,M
2024,MI,FT,149282,US,0,M
2024,SE,FT,264500,US,100,M
2024,SE,FT,165600,US,100,M
2024,MI,FT,228000,US,0,M
2024,MI,FT,134000,US,0,M
2024,SE,FT,199500,US,0,M
2024,SE,FT,97400,US,0,M
2024,SE,FT,155000,US,0,M
2024,SE,FT,139500,US,0,M
2024,MI,FT,140000,US,0,M
2024,MI,FT,100000,US,0,M
2024,SE,FT,205000,US,100,M
2024,SE,FT,155000,US,100,M
2024,EN,FT,110000,US,100,M
2024,EN,FT,90000,US,100,M
2024,EN,FT,83300,US,0,M
2024,EN,FT,47500,US,0,M
2024,SE,FT,208500,US,0,M
2024,SE,FT,174000,US,0,M
2024,SE,FT,170000,US,0,M
2024,SE,FT,130000,US,0,M
2024,MI,FT,240000,US,0,M
2024,MI,FT,180000,US,0,M
2024,MI,FT,90000,US,0,M
2024,MI,FT,70000,US,0,M
2024,SE,FT,138000,US,0,M
2024,SE,FT,110400,US,0,M
2024,SE,FT,239000,US,100,M
2024,SE,FT,159000,US,100,M
2024,SE,FT,145000,US,0,M
2024,SE,FT,115000,US,0,M
2024,SE,FT,185000,US,0,M
2024,SE,FT,160000,US,0,M
2024,MI,FT,210000,US,0,M
2024,MI,FT,160000,US,0,M
2024,EN,FT,128750,US,0,M
2024,EN,FT,61875,US,0,M
2024,EN,FT,91200,US,0,M
2024,EN,FT,58200,US,0,M
2024,SE,FT,122000,US,0,M
2024,SE,FT,94500,US,0,M
2024,MI,FT,152300,US,0,M
2024,MI,FT,76200,US,0,M
2024,MI,FT,70000,US,100,M
2024,MI,FT,51000,US,100,M
2024,SE,FT,223000,US,0,M
2024,SE,FT,185000,US,0,M
2024,MI,FT,155000,US,0,M
2024,MI,FT,120000,US,0,M
2024,SE,FT,245900,US,100,M
2024,SE,FT,139000,US,100,M
2024,MI,FT,95000,US,0,M
2024,SE,FT,213000,US,0,M
2024,SE,FT,120700,US,0,M
2024,MI,FT,128000,US,0,M
2024,MI,FT,81500,US,0,M
2024,EN,FT,46000,US,0,M
2024,EN,FT,40000,US,0,M
2024,SE,FT,75000,US,0,M
2024,SE,FT,68750,US,0,M
2024,EN,FT,176627,US,0,M
2024,EN,FT,106029,US,0,M
2024,SE,FT,193000,US,0,M
2024,SE,FT,84600,US,0,M
2024,EN,FT,94250,US,100,M
2024,EN,FT,65000,US,100,M
2024,MI,FT,148017,US,0,M
2024,MI,FT,87069,US,0,M
2024,MI,FT,135800,US,100,M
2024,MI,FT,95100,US,100,M
2024,SE,FT,175000,US,0,M
2024,SE,FT,117000,US,0,M
2024,SE,FT,234000,US,0,M
2024,SE,FT,146000,US,0,M
2024,MI,FT,120000,US,0,M
2024,MI,FT,105000,US,0,M
2024,EN,FT,43500,US,0,M
2024,EN,FT,41000,US,0,M
2024,SE,FT,234000,US,0,M
2024,SE,FT,117000,US,0,M
2024,SE,FT,211888,US,0,M
2024,SE,FT,154100,US,0,M
2024,SE,FT,185100,US,0,M
2024,SE,FT,148500,US,0,M
2024,SE,FT,147000,US,100,M
2024,SE,FT,92000,US,100,M
2024,SE,FT,148500,US,0,M
2024,SE,FT,117000,US,0,M
2024,SE,FT,130000,US,100,M
2024,SE,FT,100000,US,100,M
2024,MI,FT,203000,US,100,M
2024,MI,FT,135000,US,100,M
2024,SE,FT,50000,GE,100,M
2024,SE,FT,322100,US,100,M
2024,SE,FT,173400,US,100,M
2024,SE,FT,158900,US,100,M
2024,SE,FT,132400,US,100,M
2024,SE,FT,370000,US,0,M
2024,SE,FT,220000,US,0,M
2024,SE,FT,180000,US,0,M
2024,SE,FT,140000,US,0,M
2024,SE,FT,247300,US,0,M
2024,SE,FT,139800,US,0,M
2024,SE,FT,213000,US,0,M
2024,SE,FT,120700,US,0,M
2024,SE,FT,172000,US,100,M
2024,SE,FT,141000,US,100,M
2024,MI,FT,140000,US,100,M
2024,MI,FT,100000,US,100,M
2024,EN,FT,100000,US,100,M
2024,EN,FT,90000,US,100,M
2024,SE,FT,135000,US,0,M
2024,SE,FT,115000,US,0,M
2024,SE,FT,130000,US,0,M
2024,SE,FT,100000,US,0,M
2024,SE,FT,240901,US,100,M
2024,SE,FT,168630,US,100,M
2024,MI,FT,100000,US,0,M
2024,MI,FT,90000,US,0,M
2024,EX,FT,312300,US,100,M
2024,EX,FT,269000,US,100,M
2024,EX,FT,273600,US,100,M
2024,EX,FT,182400,US,100,M
2024,SE,FT,184000,US,0,M
2024,SE,FT,123000,US,0,M
2024,SE,FT,250000,US,100,M
2024,SE,FT,150000,US,100,M
2024,SE,FT,140000,US,100,M
2024,SE,FT,100000,US,100,M
2024,SE,FT,202500,US,0,M
2024,SE,FT,135000,US,0,M
2024,MI,FT,159550,US,0,M
2024,MI,FT,113000,US,0,M
2024,MI,FT,75000,US,100,M
2024,MI,FT,55000,US,100,M
2024,EX,FT,253900,US,0,M
2024,EX,FT,145100,US,0,M
2024,MI,FT,138000,US,0,M
2024,MI,FT,86000,US,0,M
2024,SE,FT,179000,US,0,M
2024,SE,FT,112000,US,0,M
2024,EN,FT,64500,US,0,M
2024,EN,FT,46500,US,0,M
2024,SE,FT,120750,US,0,M
2024,SE,FT,85000,US,0,M
2024,SE,FT,180000,US,100,M
2024,SE,FT,144000,US,100,M
2024,SE,FT,144606,US,0,M
2024,SE,FT,128539,US,0,M
2024,MI,FT,79400,US,0,M
2024,MI,FT,55600,US,0,M
2024,MI,FT,131700,US,0,M
2024,MI,FT,84000,US,0,M
2024,SE,FT,206000,US,0,M
2024,SE,FT,106605,US,0,M
2024,MI,FT,179000,US,0,M
2024,MI,FT,112000,US,0,M
2024,SE,FT,120750,US,0,M
2024,SE,FT,85000,US,0,M
2024,SE,FT,175000,US,0,M
2024,SE,FT,118000,US,0,M
2024,SE,FT,194000,US,0,M
2024,SE,FT,122000,US,0,M
2024,SE,FT,142250,US,0,M
2024,SE,FT,100000,US,0,M
2024,MI,FT,99000,US,0,M
2024,MI,FT,87000,US,0,M
2024,EN,FT,118400,US,0,M
2024,EN,FT,64000,US,0,M
2024,MI,FT,176000,US,0,M
2024,MI,FT,72700,US,0,M
2024,MI,FT,145000,US,0,M
2024,MI,FT,120000,US,0,M
2024,EN,FT,126225,US,0,M
2024,EN,FT,61846,US,0,M
2024,SE,FT,114200,US,0,M
2024,SE,FT,92900,US,0,M
2024,SE,FT,219700,US,0,M
2024,SE,FT,137300,US,0,M
